Titre	Artiste	Quebec		Année	Style
Cosmic Dancer	T. Rex			1970s	Classic Rock
Jeepster	T. Rex			1970s	Classic Rock
Purple Haze	The Jimi Hendrix Experience			1960s	Classic Rock
Manic Depression	The Jimi Hendrix Experience			1960s	Classic Rock
Hey Joe (Live)	The Jimi Hendrix Experience			1960s	Classic Rock
Love or Confusion	The Jimi Hendrix Experience			1960s	Classic Rock
May This Be Love	The Jimi Hendrix Experience			1960s	Classic Rock
The Wind Cries Mary	The Jimi Hendrix Experience			1960s	Classic Rock
Fire (Live)	Jimi Hendrix			1960s	Classic Rock
3rd Stone from the Sun	The Jimi Hendrix Experience			1960s	Classic Rock
Foxey Lady	The Jimi Hendrix Experience			1960s	Classic Rock
Are You Experienced?	The Jimi Hendrix Experience			1960s	Classic Rock
Stone Free	Jimi Hendrix			2010s	Classic Rock
Highway Chile	The Jimi Hendrix Experience			1960s	Classic Rock
Big Empty	Stone Temple Pilots			1990s	Alternative
Crackerman	Stone Temple Pilots			1990s	Alternative
Creep	Stone Temple Pilots			1990s	Alternative
Dead & Bloated	Stone Temple Pilots			1990s	Alternative
Huckleberry Crumble	Stone Temple Pilots			2010s	Alternative
Trippin' on a Hole in a Paper Heart	Stone Temple Pilots			1990s	Alternative
Bleed American	Jimmy Eat World			2000s	Pop-Rock
My Best Theory	Jimmy Eat World			2000s	Pop-Rock
Pain	Jimmy Eat World			2000s	Pop-Rock
A Jagged Gorgeous Wintera	The Main Drag			2007	Indie Rock
Ace of Spades '08	Motörhead			1980	Metal
Alabama Getaway	The Grateful Dead			1980	Classic Rock
Alex Chilton	The Replacements			1987	Rock
Alive	Pearl Jam			1991	Grunge
Almost Easy	Avenged Sevenfold			2007	Metal
American Woman	The Guess Who			1970	Classic Rock
Aqualung	Jethro Tull			1971	Progressive
Bad Reputation	Joan Jett			1980	Punk
Bodhisattva	Steely Dan			1973	Classic Rock
Carry On Wayward Son	Kansas			1976	Progressive
Chop Suey	System of a Down			2001	Nu-Metal
Colony of Birchmen	Mastodon			2007	Metal
Come Out and Play (Keep 'Em Separated)	The Offspring			1994	Punk
Conventional Lovera	Speck			2007	Pop/Rock
Cool for Cats	Squeeze			1979	New Wave
De-Luxe	Lush			1990	Alternative
Down with the Sickness	Disturbed			2000	Nu-Metal
Drain You	Nirvana			1991	Grunge
E-Pro	Beck			2005	Alternative
Everlong	Foo Fighters			1997	Alternative
Eye of the Tiger	Survivor			1982	Rock
Feel the Pain	Dinosaur Jr.			1994	Alternative
Float On	Modest Mouse			2004	Indie Rock
Get Cleana	Anarchy Club			2008	Metal
Girl's Not Grey	AFI			2003	Alternative
Give It All	Rise Against			2004	Punk
Go Your Own Way	Fleetwood Mac			1976	Classic Rock
Hello There	Cheap Trick			1977	Rock
Hungry Like the Wolf	Duran Duran			1982	Pop/Rock
I Was Wrong	Social Distortion			1996	Punk
Kids in America	The Muffs			1991	Pop/Rock
Lazy Eye	Silversun Pickups			2007	Indie Rock
Livin' on a Prayerc	Bon Jovi			1986	Rock
Lump	Presidents of the United States of America			1995	Pop/Rock
Man in the Box	Alice in Chains			1991	Grunge
Master Exploder	Tenacious D			2006	Rock
Mountain Song	Jane's Addiction			1988	Alternative
My Own Worst Enemy	Lit			1999	Pop/Rock
New Kid in School	The Donnas			2007	Rock
Night Liesa	Bang Camaro			2008	Rock
Nine in the Afternoon	Panic! at the Disco			2008	Pop/Rock
One Step Closer	Linkin Park			2000	Nu-Metal
One Way or Another	Blondie			1979	Pop/Rock
Our Truth	Lacuna Coil			2006	Metal
Painkiller	Judas Priest			1990	Metal
Panic Attack	Dream Theater			2005	Progressive
PDA	Interpol			2002	Indie Rock
Peace Sells	Megadeth			1986	Metal
Pinball Wizard	The Who			1969	Classic Rock
Pretend We're Dead	L7			1992	Grunge
Psycho Killer	Talking Heads			1977	New Wave
Pump It Up	Elvis Costello			1978	Rock
Ramblin' Man	The Allman Brothers Band			1973	Southern Rock
Rebel Girl	Bikini Kill			1993	Punk
Rob the Prez-O-Denta	That Handsome Devil			2008	Rock
Rock'n Me	Steve Miller Band			1976	Classic Rock
Round and Round	Ratt			1984	Metal
Shackler's Revenge	Guns N' Roses			2008	Rock
Shooting Star	Bad Company			1974	Classic Rock
Shoulder to the Plowa	Breaking Wheel			2000s	Metal
So What'cha Want	Beastie Boys			1990s	Rock
Souls of Black	Testament			1990s	Metal
Spirit in the Sky	Norman Greenbaum			1960s	Classic Rock
Supreme Girla	The Sterns			2000s	Pop/Rock
Tangled Up in Blue	Bob Dylan			1974	Classic Rock
Teen Age Riot	Sonic Youth			1988	Alternative
Testify	Rage Against the Machine			1990s	Alternative
That's What You Get	Paramore			2000s	Pop/Rock
The Middle	Jimmy Eat World			2000s	Pop/Rock
The Trees (Vault Edition)	Rush			1978	Progressive
Today	The Smashing Pumpkins			1990s	Alternative
Uncontrollable Urge	Devo			1977-1978	New Wave
Visionsa	Abnormality			2000s	Metal
We Got the Beat	The Go-Go's			1981	Pop/Rock
Welcome to the Neighborhooda	Libyans			2000s	Punk
Where'd You Go?	The Mighty Mighty Bosstones			1990s	Alternative
White Wedding (Part 1)	Billy Idol			1980s	Rock
You Oughta Know	Alanis Morissette			1990s	Pop/Rock
Are You Gonna Be My Girl	Jet			2003	Rock
Ballroom Blitz	Sweet			1973	Glam
Black Hole Sun	Soundgarden			1994	Grunge
Blitzkrieg Bop	Ramones			1976	Punk
Celebrity Skin	Hole			1998	Pop/Rock
Cherub Rock	Smashing Pumpkins			1993	Alternative
Creep	Radiohead			1992	Alternative
Dani California	Red Hot Chili Peppers			2006	Alternative
Dead on Arrival	Fall Out Boy			2003	Pop/Rock
Detroit Rock City	Kiss			1976	Classic Rock
(Don't Fear) The Reaper	Blue Öyster Cult			1976	Classic Rock
Electric Version	The New Pornographers			2003	Indie Rock
Epic	Faith No More			1990	Rock
Flirtin' with Disaster	Molly Hatchet			1979	Southern Rock
Foreplay/Long Time	Boston			1977	Classic Rock
Gimme Shelter	The Rolling Stones			1969	Classic Rock
Go with the Flow	Queens of the Stone Age			2003	Alternative
Green Grass and High Tides	The Outlaws			1975	Southern Rock
Here It Goes Again	OK Go			2006	Pop/Rock
Highway Star	Deep Purple			1972	Classic Rock
I Think I'm Paranoid	Garbage			1998	Alternative
In Bloom	Nirvana			1992	Grunge
Learn to Fly	Foo Fighters			1999	Alternative
Main Offender	The Hives			2001	Punk
Maps	Yeah Yeah Yeahs			2003	Indie Rock
Mississippi Queen	Mountain			1970	Southern Rock
Next to You	The Police			1978	Rock
Orange Crush	R.E.M.			1988	Alternative
Reptilia	The Strokes			2004	Rock
Sabotage	Beastie Boys			1994	Rock
Say It Ain't So	Weezer			1995	Alternative
Should I Stay or Should I Go	The Clash			1982	Punk
Suffragette City	David Bowie			1972	Glam
The Hand That Feeds	Nine Inch Nails			2005	Rock
Tom Sawyer	Rush			1981	Progressive
Train Kept A-Rollin'	Aerosmith			1974	Rock
Vasoline	Stone Temple Pilots			1994	Alternative
Wanted Dead or Alive	Bon Jovi			1987	Rock
Wave of Mutilation	Pixies			1987	Alternative
Welcome Home	Coheed and Cambria			2005	Progressive
When You Were Young	The Killers			2006	Alternative
Won't Get Fooled Again	The Who			1971	Classic Rock
Ain’t Messin ‘Round	Gary Clark, Jr.			2012	Rock
Albert	Eddie Japan			2015	Indie Rock
All Over You	Live			1994	Alternative
Arabella	Arctic Monkeys			2013	Rock
At Night in Dreams	White Denim			2013	Indie Rock
Birth in Reverse	St. Vincent			2014	Indie Rock
Brown Eyed Girl	Van Morrison			1967	R&B/Soul/Funk
Caught Up in You	.38 Special			1982	Southern Rock
Cedarwood Road	U2			2014	Rock
Centuries	Fall Out Boy			2015	Pop-Rock
Cold Clear Light	Johnny Blazes and the Pretty Boys			2015	R&B/Soul/Funk
Dead Black (Heart of Ice)	Soul Remnants			2013	Metal
Dream Genie	Lightning Bolt			2015	Rock
The Feast and the Famine	Foo Fighters			2014	Alternative
Fever	The Black Keys			2014	Rock
Follow You Down	Gin Blossoms			1996	Alternative
Free Falling	The Warning			2015	Rock
Friday I'm In Love	The Cure			1992	New Wave
Hail to the King	Avenged Sevenfold			2013	Metal
Halls of Valhalla	Judas Priest			2014	Metal
I Am Electric	Heaven's Basement			2013	Rock
I Bet My Life	Imagine Dragons			2015	Alternative
I Miss the Misery	Halestorm			2012	Rock
I Will Follow	U2			1980	Rock
The Impression That I Get	The Mighty Mighty Bosstones			1997	Reggae/Ska
Kick It Out	Heart			1977	Classic Rock
Knock Em Down	Duck & Cover			2014	Punk
Lazaretto	Jack White			2014	Rock
Light the Fuse	Slydigs			2015	Rock
Light Up the Night	The Protomen			2009	Rock
Little Miss Can't Be Wrong	Spin Doctors			1991	Alternative
Little White Church	Little Big Town			2010	Country
Mainstream Kid	Brandi Carlile			2015	Blues
Metropolis—Part I: The Miracle and the Sleeper	Dream Theater			1992	Prog
Milwaukee	The Both			2014	Pop-Rock
Miracle Man	Ozzy Osbourne			1988	Metal
My God Is the Sun	Queens of the Stone Age			2013	Alternative
No One Like You (2011 Re-record)	Scorpions			1982	Metal
The One I Love	R.E.M.			1987	Alternative
Panama	Van Halen			1984	Rock
A Passage to Bangkok	Rush			1976	Prog
Pistol Whipped	Tijuana Sweetheart			2012	Punk
Prayer	Disturbed			2002	Nu-Metal
Recession	Jeff Allen ft. Noelle LeBlanc and Naoko Takamoto			2015	Pop/Dance/Electronic
Rock and Roll, Hoochie Koo	Rick Derringer			1973	Classic Rock
The Seeker	The Who			1970	Classic Rock
Short Skirt/Long Jacket	Cake			2001	Alternative
Somebody Told Me	The Killers			2004	Alternative
Spiders	System of a Down			1998	Nu-Metal
Start a Band	Brad Paisley ft. Keith Urban			2008	Country
Still Into You	Paramore			2013	Pop-Rock
Superunknown	Soundgarden			1994	Grunge
Suspicious Minds	Elvis Presley			1969	Rock
That Smell	Lynyrd Skynyrd			1977	Southern Rock
Tongue Tied	Grouplove			2011	Indie Rock
Toys in the Attic	Aerosmith			1975	Rock
Turn it Around	Lucius			2013	Indie Rock
Uptown Funk	Mark Ronson ft. Bruno Mars			2015	R&B/Soul/Funk
V-Bomb	Dark Wheels			2015	Rock
Violent Shiver	Benjamin Booker			2014	Rock
The Warrior	Scandal			1984	Rock
What's Up?	4 Non Blondes			1992	Alternative
The Wolf	Mumford & Sons			2015	Rock
You Make Loving Fun	Fleetwood Mac			1977	Classic Rock
Your Love	The Outfield			1985	Pop-Rock
Happy Song	Bring Me the Horizon			2015	Nu-Metal
Safe and Sound	Capital Cities			2011	Pop/Dance/Electronic
Save Tonight	Eagle-Eye Cherry			1997	Alternative
Sweater Weather	The Neighbourhood			2011	Indie Rock
Little Talks	Of Monsters and Men			2011	Indie Rock
Happy	Pharrell Williams			2013	R&B/Soul/Funk
Closing Time	Semisonic			1998	Alternative
Chandelier	Sia			2014	Pop/Dance/Electronic
Feel Invincible	Skillet			2016	Rock
King of the World	Weezer			2016	Alternative
One More Night	Maroon 5			2012	Pop-Rock
3:00 AM	Matchbox Twenty			1997	Alternative
Bethany	Goddamn Draculas			2015	Rock
Black Corridor	Worshipper			2016	Metal
Black Streak	Nemes			2014	Indie Rock
Closer, Closer	The Warning Shots			2016	Punk
Constant Disaster	When Particles Collide			2014	Alternative
Hour of Rats	The Red Chord			2009	Metal
I Recognize	Newfane			2016	Alternative
Mean Girls	Petty Morals			2016	Pop-Rock
Never Let 'Em Hold Ya Back!	Parlour Bells			2016	Glam
Pain Killer	Ruby Rose Fox			2016	Indie Rock
Shadow	Bearstronaut			2016	Pop-Rock
True Confessional	Party Bois			2016	Pop/Dance/Electronic
S.O.M.P[23]	Skratch'N Snyf			1990	Glam
Sink	Animal Flag			2016	Indie Rock
These Hands	Bent Knee			2016	Indie Rock
No Place for Me	Black Beach			2016	Rock
History Repeats	Creaturos			2016	Rock
RudeBoys	Dutch ReBelle			2016	Hip-Hop/Rap
Hurry Up (& Wait for You)	Julie Rhodes			2016	Indie Rock
Casablanca	Littlefoot			2016	Pop-Rock
Cross That Line	Michael Christmas			2016	Hip-Hop/Rap
Skydiver	Ruby Rose Fox			2016	Indie Rock
Good	STL GLD			2016	Hip-Hop/Rap
Alone Time	Tigerman WOAH			2016	Rock
Sweater Weather	Parks			2012	Pop-Rock
To My Romeo	Spirit Kid			2016	Pop-Rock
Black Seas	Arctic Horror			2016	Metal
(You're) Breakin' Up	The Black Cheers			2015	Punk
Open Water	Assuming We Survive			2016	Rock
Shy	Hunny			2017	Indie Rock
Bloodhands (Oh My Fever)	In the Valley Below			2017	Indie Rock
Who's Your Lover	Nightmare Air			2017	Indie Rock
Radio	No Small Children			2017	Rock
Forget About Tomorrow	The Bergamot			2016	Alternative
I Hear the Dead	Dolly Spartans			2017	Alternative
Body Like That	The Eiffels			2018	Alternative
Vinyl	Fly by Midnight			2018	Pop/Dance/Electronic
Shame	Jocelyn and Chris Arndt			2016	Rock
Survive	The Warning			2017	Rock
This Will Be the Day	Jeff Williams feat. Casey Lee Williams			2013	Rock
Thinking Emoji	Barely March			2018	Punk
Love That Hurts	PREACHERVAN			2018	Alternative
Let's Just Dance	Ships Have Sailed			2018	Alternative
Save Yourself	tiLLie			2017	Alternative
My Own Eyes	Weird Al Yankovic			2014	Novelty
Divide	All That Remains			2014	Metal
What If I Was Nothing	All That Remains			2012	Metal
Gimme Chocolate!!	Babymetal			2014	Metal
Run for Cover	Blitz Kids			2014	Pop-Rock
Throne	Bring Me the Horizon			2015	Nu-Metal
Mona Lisa	Dead Sara			2015	Alternative
The Reflex	Duran Duran			1983	Pop-Rock
September	Earth, Wind & Fire			1978	R&B/Soul/Funk
All the Rage Back Home	Interpol			2014	Indie Rock
Move Over	Janis Joplin			1971	Classic Rock
Jane	Jefferson Starship			1979	Classic Rock
Rebellion (ft. Daron Malakian)	Linkin Park			2014	Nu-Metal
The Mephistopheles of Los Angeles	Marilyn Manson			2015	Metal
High Road	Mastodon			2014	Metal
One Big Holiday	My Morning Jacket			2003	Southern Rock
Would You Still Be There	Of Mice & Men			2014	Nu-Metal
Sugar, You	Oh Honey			2015	Indie Rock
Cowboys from Hell (Live from Monsters in Moscow Festival)	Pantera			1991	Metal
King for a Day (ft. Kellin Quinn)	Pierce the Veil			2012	Emo
Summertime Boy	Seasick Steve			2015	Blues
Backwoods Company	The Wild Feathers			2013	Southern Rock
Don't Wanna Fight	Alabama Shakes			2015	Southern Rock
Failure	Breaking Benjamin			2015	Rock
Trainwreck 1979	Death from Above 1979			2014	Rock
Follow Me Down	The Pretty Reckless			2014	Rock
Cryin'	Aerosmith			1993	Rock
Dude (Looks Like a Lady)	Aerosmith			1987	Rock
Eat the Rich	Aerosmith			1993	Rock
Love in an Elevator	Aerosmith			1989	Rock
Rats in the Cellar	Aerosmith			1976	Rock
Seasons of Wither	Aerosmith			1974	Rock
Always Something There to Remind Me	Naked Eyes			1983	New Wave
People Are People	Depeche Mode			1984	Pop/Dance/Electronic
What You Need	INXS			1985	Pop-Rock
Bad Case of Loving You (Doctor, Doctor)	Robert Palmer			1979	Pop-Rock
Long Cool Woman in a Black Dress	The Hollies			1971	Classic Rock
Lust for Life	Iggy Pop			1977	Rock
Like a Stone	Audioslave			2002	Rock
Awake	Godsmack			2000	Nu-Metal
Lying from You	Linkin Park			2003	Nu-Metal
Bad Catholics 	The Barbazons			2015	Indie Rock
Sing	Ed Sheeran			2014	Pop-Rock
Young Blood 	Saint Raymond			2015	Pop-Rock
Riptide	Vance Joy			2013	Indie Rock
Shut Up and Dance	Walk the Moon			2014	Pop-Rock
And The Cradle Will Rock...	Van Halen			1980	Rock
Ain't Talkin' 'bout Love	Van Halen			1978	Rock
Dance the Night Away	Van Halen			1979	Rock
Hot for Teacher	Van Halen			1984	Rock
Runnin' with the Devil	Van Halen			1979	Rock
Unchained	Van Halen			1981	Rock
Dreams	Beck			2015	Alternative
Electric Love	BØRNS			2015	Pop/Dance/Electronic
Cocoon	Catfish and the Bottlemen			2015	Indie Rock
First	Cold War Kids			2015	Indie Rock
Renegades	X Ambassadors			2015	Alternative
The Coma Machine	Between the Buried and Me			2015	Prog
Heir Apparent	Opeth			2008	Prog
Nevermore	Symphony X			2015	Prog
Ex's and Oh's	Elle King			2015	Alternative
Can't Feel My Face	The Weeknd			2015	Pop/Dance/Electronic
Irresistible	Fall Out Boy			2015	Pop-Rock
Different Colors	Walk the Moon			2015	Pop-Rock
Stitches	Shawn Mendes			2015	Pop-Rock
Sunday Bloody Sunday	U2			1983	Rock
Pride (In the Name of Love)	U2			1984	Rock
Where the Streets Have No Name	U2			1987	Rock
Desire	U2			1988	Rock
One	U2			1991	Rock
Vertigo	U2			2004	Rock
California (There Is No End to Love)	U2			2014	Rock
The Miracle (Of Joey Ramone)	U2			2014	Rock
Adventure of a Lifetime	Coldplay			2015	Alternative
Drag Me Down	One Direction			2015	Pop/Dance/Electronic
Thank God for Girls	Weezer			2015	Alternative
What Do You Mean?	Justin Bieber			2015	Pop/Dance/Electronic
On My Mind	Ellie Goulding			2015	Pop/Dance/Electronic
Leave the Night On	Sam Hunt			2014	Country
Immortalized	Disturbed			2015	Nu-Metal
The Vengeful One	Disturbed			2015	Nu-Metal
Warrior	Disturbed			2010	Nu-Metal
My Wave	Soundgarden			1994	Grunge
Wicked Garden	Stone Temple Pilots			1992	Alternative
Hunger Strike	Temple of the Dog			1991	Grunge
Get Lucky	Daft Punk ft. Pharrell Williams			2013	Pop/Dance/Electronic
Heartbeat Song	Kelly Clarkson			2015	Pop/Dance/Electronic
Hey Ya!	Outkast			2003	Hip-Hop/Rap
Locked Out of Heaven	Bruno Mars			2012	Pop-Rock
Treasure	Bruno Mars			2012	Pop-Rock
Dancing with Myself	Generation X			1981	Punk
Love Stinks	The J. Geils Band			1980	Rock
I Hate Myself for Loving You	Joan Jett & the Blackhearts			1988	Punk
Speed Fighter	Masaya Matsuura			2014	Pop/Dance/Electronic
Still the One	Orleans			1976	Rock
Got Your Six	Five Finger Death Punch			2015	Metal
Thunder & Lightning	Motörhead			2015	Metal
Figure It Out	Royal Blood			2014	Rock
Chicken Fried	Zac Brown Band			2008	Country
Homegrown	Zac Brown Band			2015	Country
The Wind	Zac Brown Band			2012	Country
Best Song Ever	One Direction			2013	Pop/Dance/Electronic
Never Enough	One Direction			2015	Pop/Dance/Electronic
Story of My Life	One Direction			2013	Pop/Dance/Electronic
What Makes You Beautiful	One Direction			2011	Pop/Dance/Electronic
Zombie	The Cranberries			1994	Alternative
Ode to My Family	The Cranberries			1994	Alternative
Dreams	The Cranberries			1993	Alternative
She Looks So Perfect	5 Seconds of Summer			2014	Pop-Rock
My Songs Know What You Did in the Dark (Light Em Up)	Fall Out Boy			2013	Pop-Rock
Everybody Talks	Neon Trees			2012	Pop-Rock
That's My Kind of Night	Luke Bryan			2013	Country
House Party	Sam Hunt			2014	Country
Blown Away	Carrie Underwood			2012	Country
Day Late, Dollar Short	The Acro-Brats			2006	Rock
Blood Doll	Anarchy Club			2007	Rock
Pleasure (Pleasure)	Bang Camaro			2007	Rock
Push Push, Lady Lightning	Bang Camaro			2007	Rock
Lodger	Blanks.			2009	Indie Rock
Shake	Count Zero			2008	Rock
Can't Let Go	Death of the Cool			2007	Rock
The Heist	DnA's Evolution			2009	Rock
Blink	Father Octopus			2010	Rock
Brainpower	Freezepop			2007	Pop/Dance/Electronic
Less Talk More Rokk	Freezepop			2007	Pop/Dance/Electronic
Sprode	Freezepop			2003	Pop/Dance/Electronic
Signs	Giant Target			2009	Punk
I Get By	Honest Bob and the Factory-to-Dealer Incentives			2007	Indie Rock
Don't Let Me Down (Slowly)	The Main Drag			2009	Indie Rock
What's Your Favorite Dinosaur?	The Main Drag			2008	Indie Rock
Synthesized	Symbion Project			2003	Pop/Dance/Electronic
No Mercy	Tijuana Sweetheart			2009	Punk
Seven	Tijuana Sweetheart			2007	Punk
Trash Candy	Tijuana Sweetheart			2009	Punk
Outside	Tribe			1989	Rock
Cake by the Ocean	DNCE			2015	Pop-Rock
Stressed Out[s]	Twenty One Pilots			2015	Alternative
The Hills	The Weeknd			2015	Pop/Dance/Electronic
Sorry	Justin Bieber			2015	Pop/Dance/Electronic
Boyfriend	Justin Bieber			2012	Pop/Dance/Electronic
Love Yourself	Justin Bieber			2015	Pop/Dance/Electronic
Redneck	Lamb of God			2006	Metal
What I Like About You	The Romantics			1980	Pop-Rock
Dope Nose	Weezer			2002	Alternative
Don't Do Me Like That	Tom Petty and the Heartbreakers			1979	Rock
Learning to Fly	Tom Petty and the Heartbreakers			1991	Rock
Breakfast at Tiffany's	Deep Blue Something			1995	Alternative
Take Me to Church	Hozier			2014	Indie Rock
Hey Jealousy	Gin Blossoms			1993	Alternative
Found Out About You	Gin Blossoms			1993	Alternative
We're Not Gonna Take It	Twisted Sister			1984	Glam
Cherry Pie	Warrant			1990	Metal
Hook	Blues Traveler			1994	Rock
Famous Last Words	My Chemical Romance			2006	Emo
Rude	Magic!			2014	Pop-Rock
Iris	Goo Goo Dolls			1998	Alternative
Radioactive	Imagine Dragons			2012	Alternative
Never Too Late	Three Days Grace			2006	Rock
Africa	Toto			1982	Pop-Rock
All These Things That I've Done	The Killers			2004	Alternative
Lips of an Angel	Hinder			2005	Rock
Where Is My Mind?	Pixies			1988	Alternative
Rock This Town	Brian Setzer			2007	Rock
Jumper	Third Eye Blind			1997	Alternative
Uptown Girl	Billy Joel			1983	Classic Rock
Hemorrhage (In My Hands)	Fuel			2000	Rock
Pompeii	Bastille			2013	Indie Rock
I Gotta Feeling	The Black Eyed Peas			2009	Pop/Dance/Electronic
Blurred Lines	Robin Thicke ft. Pharrell			2013	R&B/Soul/Funk
Mr. Jones	Counting Crows			1993	Alternative
Heaven Is a Place on Earth	Belinda Carlisle			1987	Pop-Rock
Bad Catholics	The Barbazons			2015	Indie Rock
If You Could Only See	Tonic			1996	Alternative
Everything You Want	Vertical Horizon			1999	Alternative
I'm Yours	Jason Mraz			2008	Pop-Rock
Starships	Nicki Minaj			2012	Pop/Dance/Electronic
What About Love	Heart			1985	Classic Rock
Seventeen	Winger			1988	Glam
Wrong Side of Heaven	Five Finger Death Punch			2013	Metal
Lifestyles of the Rich and Famous	Good Charlotte			2002	Punk
Dirt Road Anthem	Jason Aldean			2010	Country
All for You	Sister Hazel			1997	Alternative
Dystopia	Megadeth			2016	Metal
Road to Nowhere	Ozzy Osbourne			1991	Metal
The Devil in I	Slipknot			2014	Nu-Metal
HandClap	Fitz and the Tantrums			2016	Pop-Rock
The Sound of Silence	Disturbed			2015	Nu-Metal
Flagpole Sitta	Harvey Danger			1997	Alternative
Stop	Jane's Addiction			1990	Alternative
Honey, I'm Good.	Andy Grammer			2014	Pop-Rock
Treat You Better	Shawn Mendes			2016	Pop-Rock
Closer	The Chainsmokers ft. Halsey			2016	Pop/Dance/Electronic
Cheap Thrills	Sia ft. Sean Paul			2016	Pop/Dance/Electronic
Hold My Hand	Hootie & the Blowfish			1994	Alternative
Only Wanna Be with You	Hootie & the Blowfish			1994	Alternative
Let Her Cry	Hootie & the Blowfish			1994	Alternative
Born Again Tomorrow	Bon Jovi			2016	Rock
Lovesong	The Cure			1989	New Wave
Time After Time	Cyndi Lauper			1983	Pop-Rock
She Drives Me Crazy	Fine Young Cannibals			1989	New Wave
Complicated	Avril Lavigne			2002	Pop-Rock
My Happy Ending	Avril Lavigne			2004	Pop-Rock
What the Hell	Avril Lavigne			2011	Pop-Rock
24K Magic	Bruno Mars			2016	Pop-Rock
Hymn for the Weekend	Coldplay			2016	Alternative
Still Breathing	Green Day			2016	Rock
Starboy	The Weeknd ft. Daft Punk			2016	Pop/Dance/Electronic
Waste a Moment	Kings of Leon			2016	Rock
Chop Suey!	System of a Down			2001	Nu-Metal
Heathens	Twenty One Pilots			2016	Alternative
Ride	Twenty One Pilots			2015	Alternative
Royals	Lorde			2013	Pop/Dance/Electronic
All About That Bass	Meghan Trainor			2014	Pop/Dance/Electronic
The Greatest	Sia ft. Kendrick Lamar			2016	Pop/Dance/Electronic
Angel	Aerosmith			1987	Rock
Crazy	Aerosmith			1993	Rock
I Don't Want to Miss a Thing	Aerosmith			1998	Rock
Janie's Got a Gun	Aerosmith			1989	Rock
Livin' on the Edge	Aerosmith			1993	Rock
Rag Doll	Aerosmith			1987	Rock
Wake Me Up	Avicii			2013	Pop/Dance/Electronic
Celebration	Kool & the Gang			1980	R&B/Soul/Funk
Party Rock Anthem	LMFAO ft. Lauren Bennett & GoonRock			2011	Pop/Dance/Electronic
The Stage	Avenged Sevenfold			2016	Metal
Trust	Megadeth			1997	Metal
Dead Memories	Slipknot			2008	Nu-Metal
Swing, Swing	The All-American Rejects			2003	Emo
Some Nights	fun.			2012	Pop-Rock
Cheerleader (Felix Jaehn Remix)	OMI			2015	Pop/Dance/Electronic
Hold the Line	Toto			1978	Pop-Rock
S.O.M.P.	Skratch'N Snyf			1990	Glam
Applause	Lady Gaga			2013	Pop/Dance/Electronic
A-YO	Lady Gaga			2016	Pop/Dance/Electronic
The Edge of Glory	Lady Gaga			2011	Pop/Dance/Electronic
I Wanna Rock	Twisted Sister			1984	Glam
I Will Survive	Cake			1996	Alternative
Want to Want Me	Jason Derulo			2015	Pop/Dance/Electronic
Don't You (Forget About Me)	Simple Minds			1985	New Wave
In Too Deep	Sum 41			2001	Punk
Black Betty	Ram Jam			1977	Classic Rock
Outside	Staind			2001	Nu-Metal
Can't Hold Us	Macklemore & Ryan Lewis ft. Ray Dalton			2012	Hip-Hop/Rap
Danger Zone	Kenny Loggins			1986	Pop-Rock
Use Somebody	Kings of Leon			2008	Rock
I Will Wait	Mumford & Sons			2012	Rock
Counting Stars	OneRepublic			2013	Pop-Rock
Promise Everything	Basement			2016	Alternative
Shape of You	Ed Sheeran			2017	Pop-Rock
You Make My Dreams	Hall & Oates			1980	Pop-Rock
Glass House	Kaleo			2016	Rock
Bizarre Love Triangle	New Order			1986	New Wave
Champagne Supernova	Oasis			1995	Rock
Heaven Knows	The Pretty Reckless			2014	Rock
This Is How We Do It	Montell Jordan			1995	Hip-Hop/Rap
Kids	MGMT			2007	Pop/Dance/Electronic
Mother Mother	Tracy Bonham			1996	Alternative
Shout	The Isley Brothers			1959	R&B/Soul/Funk
Bored to Death	Blink-182			2016	Punk
You & Me	The Hunna			2016	Indie Rock
Pull Me Under	Dream Theater			1992	Prog
Circles	Pierce the Veil			2016	Emo
Killing Is Just a Means 	Permaband			2014	Rock
Wrecking Machine 	Permaband			2016	Rock
Girls Just Want to Have Fun	Cyndi Lauper			1983	Pop-Rock
Ain't It Fun	Paramore			2013	Pop-Rock
Freewill (Vault Edition)	Rush			1980	Prog
Cirice	Ghost			2015	Metal
In-A-Gadda-Da-Vida	Iron Butterfly			1968	Classic Rock
She	Legitimate Front			2012	R&B/Soul/Funk
Gold on the Ceiling	The Black Keys			2011	Rock
Hold On	Wilson Phillips			1990	Pop-Rock
Alive	The Temper Trap			2016	Indie Rock
True Confessions	Blondfire			2016	Indie Rock
Rebel Heart	The Shelters			2016	Rock
Stupid Girl	Garbage			1995	Alternative
Every Morning	Sugar Ray			1999	Alternative
Postpone	Catfish and the Bottlemen			2016	Indie Rock
Stranglehold	Ted Nugent			1975	Classic Rock
Ice Ice Baby	Vanilla Ice			1990	Hip-Hop/Rap
I Wanna Dance with Somebody (Who Loves Me)	Whitney Houston			1987	Pop/Dance/Electronic
God Damn	Avenged Sevenfold			2016	Metal
Super Freak	Rick James			1981	R&B/Soul/Funk
Float	Switchfoot			2016	Alternative
Burnin' for You	Blue Öyster Cult			1981	Classic Rock
There's Nothing Holdin' Me Back	Shawn Mendes			2016	Pop-Rock
Heat of the Moment	Asia			1982	Classic Rock
Down in a Hole	Alice in Chains			1992	Grunge
Them Bones	Alice in Chains			1992	Grunge
